timestamp,robot_id,task_id,joint_id,force_x_N,force_y_N,force_z_N,torque_x_Nm,torque_y_Nm,torque_z_Nm,resultant_force_N,slip_detected,contact_instability,event_type
2024-01-15T08:00:00Z,ROBOT_A01,TASK_001,J4,12.1,8.3,45.2,2.1,1.8,5.3,47.1,0,0,nominal
2024-01-15T08:01:00Z,ROBOT_A01,TASK_001,J4,14.3,9.7,53.8,2.5,2.2,6.1,55.8,0,0,nominal
2024-01-15T08:02:00Z,ROBOT_A01,TASK_001,J4,16.8,12.1,68.4,3.1,2.9,7.8,71.4,0,0,force_trending_high
2024-01-15T08:02:30Z,ROBOT_A01,TASK_001,J4,28.3,19.6,78.2,4.8,4.1,9.2,83.2,1,0,slip_event
2024-01-15T08:03:00Z,ROBOT_A01,TASK_001,J4,17.1,11.8,65.3,3.0,2.7,7.4,67.8,0,0,recovered
2024-01-15T08:10:00Z,ROBOT_A01,TASK_002,J4,18.2,13.5,36.8,3.2,2.9,4.8,42.1,0,0,nominal
2024-01-15T08:11:00Z,ROBOT_A01,TASK_002,J4,22.7,17.4,47.2,4.1,3.8,6.2,55.6,0,1,contact_instability
2024-01-15T08:11:30Z,ROBOT_A01,TASK_002,J4,31.8,23.6,58.4,5.7,5.2,7.9,66.8,1,1,slip_and_contact
2024-01-15T08:12:00Z,ROBOT_A01,TASK_002,J4,20.3,15.2,44.7,3.7,3.4,5.9,50.2,0,0,recovered
2024-01-15T08:12:30Z,ROBOT_A01,TASK_002,J4,19.8,14.7,42.3,3.5,3.2,5.6,47.8,0,0,nominal
2024-01-15T08:20:00Z,ROBOT_A01,TASK_003,J1,8.2,5.9,31.4,1.4,1.2,3.8,32.8,0,0,nominal
2024-01-15T08:21:30Z,ROBOT_A01,TASK_003,J4,11.7,8.4,44.2,2.0,1.8,5.2,46.1,1,0,slip_event
2024-01-15T08:22:00Z,ROBOT_A01,TASK_003,J1,8.5,6.2,32.1,1.5,1.3,3.9,33.4,0,0,recovered
2024-01-15T08:23:00Z,ROBOT_A01,TASK_003,J4,10.3,7.4,39.8,1.8,1.6,4.8,41.5,0,0,nominal
