defect_id,cell_id,defect_type,severity,confidence,measurement_method
defect_001,cell_0008,high_leakage,medium,0.82,edx_spectroscopy_candidate
defect_002,cell_0013,unstable_region,high,0.88,afm_surface_scan_candidate
defect_003,cell_0016,high_leakage,medium,0.79,edx_spectroscopy_candidate
defect_004,cell_0021,high_leakage,critical,0.95,edx_spectroscopy_candidate
defect_005,cell_0027,low_mobility,high,0.85,hall_effect_candidate
defect_006,cell_0031,high_leakage,medium,0.77,edx_spectroscopy_candidate
defect_007,cell_0035,unstable_region,low,0.61,afm_surface_scan_candidate
defect_008,cell_0044,open_connection,critical,0.97,sem_inspection_candidate
defect_009,cell_0047,low_mobility,medium,0.74,hall_effect_candidate
defect_010,cell_0055,open_connection,high,0.91,sem_inspection_candidate
defect_011,cell_0058,unstable_region,low,0.63,afm_surface_scan_candidate
defect_012,cell_0062,high_leakage,medium,0.80,edx_spectroscopy_candidate
defect_013,cell_0075,high_leakage,medium,0.78,edx_spectroscopy_candidate
defect_014,cell_0079,unstable_region,low,0.59,afm_surface_scan_candidate
defect_015,cell_0089,unstable_region,high,0.87,afm_surface_scan_candidate
defect_016,cell_0091,low_mobility,medium,0.72,hall_effect_candidate
defect_017,cell_0103,open_connection,high,0.93,sem_inspection_candidate
defect_018,cell_0112,low_mobility,low,0.65,hall_effect_candidate
