timestamp,robot_id,task_id,motor_current_A,joint_temp_C,imu_vibration_g,position_error_mm,joint_position_error_mm,latency_ms,error_count,controller_fault_code,joint_torque_Nm,force_sensor_N,gripper_force_N,slip_detected,contact_instability,payload_kg,surface_type,floor_condition,lighting_lux,fault_code,real_success,human_intervention,post_intervention_result
2026-06-21T08:00:00,robot_01,task_payload_transport_042,3.20,42.0,0.012,0.08,0.08,12.0,0,0,35.0,182.0,40.0,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:05:00,robot_01,task_payload_transport_042,3.21,42.1,0.012,0.08,0.08,12.0,0,0,35.2,183.0,40.1,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:10:00,robot_01,task_payload_transport_042,3.22,42.2,0.012,0.09,0.09,12.0,0,0,35.3,183.5,40.2,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:15:00,robot_01,task_payload_transport_042,3.21,42.1,0.013,0.08,0.08,12.1,0,0,35.1,182.5,40.0,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:20:00,robot_01,task_payload_transport_042,3.23,42.3,0.012,0.09,0.09,12.0,0,0,35.4,184.0,40.3,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:25:00,robot_01,task_payload_transport_042,3.22,42.2,0.013,0.08,0.08,12.1,0,0,35.2,183.0,40.1,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:30:00,robot_01,task_payload_transport_042,3.24,42.4,0.013,0.09,0.09,12.1,0,0,35.5,184.5,40.4,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:35:00,robot_01,task_payload_transport_042,3.25,42.5,0.013,0.09,0.09,12.1,0,0,35.6,185.0,40.5,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:40:00,robot_01,task_payload_transport_042,3.24,42.4,0.014,0.09,0.09,12.2,0,0,35.4,184.5,40.3,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:45:00,robot_01,task_payload_transport_042,3.26,42.6,0.013,0.10,0.10,12.1,0,0,35.7,185.5,40.6,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:50:00,robot_01,task_payload_transport_042,3.27,42.7,0.014,0.10,0.10,12.2,0,0,35.8,186.0,40.7,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T08:55:00,robot_01,task_payload_transport_042,3.26,42.6,0.014,0.10,0.10,12.2,0,0,35.6,185.5,40.5,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:00:00,robot_01,task_payload_transport_042,3.28,42.8,0.014,0.10,0.10,12.2,0,0,35.9,186.5,40.8,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:05:00,robot_01,task_payload_transport_042,3.29,42.9,0.015,0.11,0.11,12.3,0,0,36.0,187.0,41.0,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:10:00,robot_01,task_payload_transport_042,3.30,43.0,0.015,0.11,0.11,12.3,0,0,36.1,187.5,41.1,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:15:00,robot_01,task_payload_transport_042,3.31,43.1,0.015,0.11,0.11,12.3,0,0,36.2,188.0,41.2,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:20:00,robot_01,task_payload_transport_042,3.32,43.2,0.015,0.11,0.11,12.3,0,0,36.3,188.5,41.3,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:25:00,robot_01,task_payload_transport_042,3.33,43.3,0.015,0.11,0.11,12.4,0,0,36.4,189.0,41.4,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:30:00,robot_01,task_payload_transport_042,3.45,44.0,0.018,0.13,0.13,13.0,0,0,38.0,196.0,43.0,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:35:00,robot_01,task_payload_transport_042,3.55,44.8,0.021,0.15,0.15,13.5,0,0,39.5,202.0,45.0,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:40:00,robot_01,task_payload_transport_042,3.68,45.7,0.025,0.17,0.17,14.2,0,0,41.2,210.0,47.5,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:45:00,robot_01,task_payload_transport_042,3.80,46.5,0.030,0.19,0.19,15.0,1,0,43.0,218.0,50.0,false,false,5.0,smooth_metal,clean,500,,true,false,
2026-06-21T09:50:00,robot_01,task_payload_transport_042,3.95,47.5,0.035,0.21,0.21,15.8,1,0,44.8,226.0,53.0,false,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_WARNING,true,false,
2026-06-21T09:55:00,robot_01,task_payload_transport_042,4.10,48.4,0.041,0.23,0.23,16.5,1,0,46.5,233.0,56.0,true,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_WARNING,false,false,
2026-06-21T10:00:00,robot_01,task_payload_transport_042,4.20,49.2,0.048,0.26,0.26,17.3,1,0,48.0,240.0,59.0,true,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_WARNING,false,false,
2026-06-21T10:05:00,robot_01,task_payload_transport_042,4.50,51.0,0.055,0.30,0.30,19.0,2,3,52.0,255.0,65.0,true,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_F03,false,false,
2026-06-21T10:10:00,robot_01,task_payload_transport_042,4.65,52.5,0.063,0.34,0.34,21.0,2,3,54.5,263.0,69.0,true,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_F03,false,false,
2026-06-21T10:15:00,robot_01,task_payload_transport_042,4.80,54.0,0.072,0.38,0.38,23.0,3,3,57.0,271.0,73.0,true,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_F03,false,false,
2026-06-21T10:20:00,robot_01,task_payload_transport_042,4.85,55.2,0.079,0.40,0.40,25.0,3,3,58.0,275.0,74.0,true,true,5.0,smooth_metal,clean,500,GRIPPER_SLIP_F03,false,true,inspection_required
2026-06-21T10:25:00,robot_01,task_payload_transport_042,0.50,52.0,0.003,0.00,0.00,0.0,0,5,0.0,0.0,0.0,false,false,0.0,smooth_metal,clean,500,ESTOP_MANUAL_F05,false,false,inspection_required
